key,en_US,pt_BR
TEXT_START,Start,Começar
TEXT_SETTINGS,Settings,Configurações
TEXT_QUIT,Quit,Sair
TEXT_SOURCE_CODE,Source Code,Código Fonte
TEXT_MASTER_VOLUME,Master Volume,Volume Principal
TEXT_LANGUAGE_OPTION,Choose Language,Selecione a Linguagem
TEXT_DIFFICULTY_OPTION,Select the Difficulty,Selecione a Dificuldade
TEXT_RESOLUTION,Resolution,Resolução
TEXT_VSYNC,Vsync,Sincronização Vertical
TEXT_GESTURE_TAP,Tap,Toque
TEXT_GESTURE_PRESS,Press,Pressione
TEXT_INTERACT,to Interact,para Interagir
TEXT_PLATFORM_SIGN,Falling into the water could be game over.,Cair na água pode significar o fim do jogo.
TEXT_THANKS_END,Thanks for playing.,Obrigado por jogar.
TEXT_FINISH_SIGN,Time to buy another programming course I’ll never finish 😎,Hora de comprar outro curso de programação que nunca vou terminar 😎
TEXT_GAME_NAME,Programming Warrior,Guerreiro da Programação
TEXT_OPTION_0,Novice,Novato
TEXT_OPTION_1,Easy,Fácil
TEXT_OPTION_2,Medium,Médio
TEXT_OPTION_3,Hard,Difícil
TEXT_DIE,You died,Você morreu
TEXT_MEME,Collect coins. Buy courses. Never open them,Colecione moedas. Compre cursos. Nunca os abra.
